ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
10,7,3,0.236546898170706,-0.029238536890924,0.271346423759297,-0.435508150274223
11,7,3,0.082966745702641,-0.0101405883955551,0.179999858655397,-0.298507784926257
12,7,3,-0.324887467282063,0.0268427169997211,0.132751761257919,0.312236866224595
1,8,3,0.263526658568469,-0.0291157331705018,0.38409987302562,-0.543341627213198
2,8,3,0.111696863313727,-0.010941546498988,0.189563484414185,-0.234528297041364
3,8,3,0.475576371101065,-0.0664539262716704,0.616657012281585,-0.866173511586032
4,8,3,0.186135091014602,-0.017432180442293,0.0265903245442667,-0.1986574838934
5,8,3,0.189988240742927,-0.0216070230348565,0.208234306426653,-0.399461015583361
6,8,3,-0.0076724419073587,-0.000827157050687053,0.00473691964851958,0.0701119515969997
7,8,3,-0.888005315476304,0.0472121702893219,0.398359635091766,1.14074552210364
8,8,3,-0.277074776276954,0.0246336243256055,0.114028623390123,0.224381370316109
9,8,3,0.0130728344292019,-0.00302103234977583,0.157216508764901,-0.21892963907747
10,8,3,0.166680931160534,-0.0189036867574844,0.229332290133358,-0.370374077752016
11,8,3,-0.0599383668815505,0.00511694083229433,0.139376592019911,-0.113217514013557
12,8,3,-0.324859801548716,0.0295356438218718,0.0434145361575545,0.163159071265483
1,9,3,-0.371930138857711,0.0287283384460474,0.18042636307592,0.313429272416763
2,9,3,-0.556605524559938,0.0395513614325782,0.309022680344581,0.515378829156263
3,9,3,-0.434487628175155,0.0322622996205133,0.278076315765351,0.328191054076883
4,9,3,0.0980554040980179,-0.00962551043426367,-0.00386815673236429,-0.0198807358178862
5,9,3,-0.0400247551568882,0.00294081124025324,0.127254828526217,-0.115288791915975
6,9,3,-0.466138421189653,0.037444003208303,0.237776101768056,0.341183434849547
7,9,3,0.40802638001498,-0.0441641530733371,0.39834932999943,-0.579833328213642
8,9,3,0.0987382708272757,-0.00907700058853431,0.186972354818287,-0.312234995942532
9,9,3,-0.312136780521966,0.0260430580925344,0.120874042596194,0.259215827715332
10,9,3,0.473169622120126,-0.0628094578549151,0.530489807199021,-0.75851771906541
11,9,3,0.0747091707869049,-0.00741062901627827,0.0123684831530088,-0.121584002113007
12,9,3,-0.0773254932352191,0.00452317320219655,0.0315011892954246,0.140155070212358
1,10,3,-0.257061239162223,0.0185936030808828,0.0985781237174818,0.326964542131165
2,10,3,0.0639791719456033,-0.00545353731274886,-0.232419191276976,0.038437848195218
3,10,3,-0.442498539846999,0.0321680181327405,0.349492348844898,0.399361174438879
4,10,3,0.421683393016001,-0.0502124559086301,0.509326324768365,-0.728309116747667
5,10,3,0.0274801296177262,-0.00268049617242964,0.0104241304812217,-0.0727016684739779
6,10,3,-0.025280971786932,0.00210132931097441,0.0631229695867305,-0.0681470524338175
7,10,3,0.176354924026605,-0.0161743646444029,0.0564202962841089,-0.257358440633853
8,10,3,0.341838600310631,-0.0363988617396575,0.327270437017723,-0.493832903765173
9,10,3,-0.544110560455174,0.0390929843490537,0.405775417959818,0.304678126902337
10,10,3,-0.086214943823017,0.00515052461401587,0.0326903640211145,0.142485830410678
11,10,3,-0.309983962666767,0.0272188569536358,0.126376270336073,0.291856180303617
12,10,3,-0.172699161466627,0.0182711836859708,0.132146454672248,0.0941680047904186
1,11,3,-0.0850398652030003,0.00319010312512859,-0.0787389472533461,0.258277039181266
2,11,3,0.022534547714467,-0.00403110021648269,-0.242595394072613,0.154410650930958
3,11,3,0.196190206846013,-0.0209785420457875,0.29759271368052,-0.39968309451424
4,11,3,-0.26242438798273,0.0201034403456589,0.261847389315891,0.237422234481096
5,11,3,0.496039375291554,-0.0695182863563259,0.499372841493218,-0.875958523312423
6,11,3,-0.128026653191166,0.0135250945650823,0.166367700533995,-0.0164492809780231
7,11,3,0.248744208875175,-0.0214335371252632,-0.479605268882466,-0.0108848709875009
8,11,3,0.325430291626069,-0.0275200204084499,-0.671855336421372,-0.191332958911424
9,11,3,-0.0168237760759679,0.000390068570124635,0.0129806507601933,0.0991015429650776
10,11,3,0.0502587256614792,-0.00568046404120877,-0.117627183755587,0.0371698970021183
11,11,3,-0.214229321434912,0.0195660627657141,0.0441166789145247,0.159904349096068
12,11,3,-0.340380769880807,0.0266357385361361,0.178379226272339,0.284363059919694
1,12,3,-0.443485480698637,0.0401074362198844,0.317444447259925,0.3856813386758
2,12,3,0.0466771885540195,-0.00178597367141642,-0.273691399038009,0.127926260672067
3,12,3,-0.345207024022475,0.027179825822153,0.188321087001582,0.369824507527441
